date,product,position,ship_from,ship_to,price_usd_mt
2024-11-01,Soybeans,12019000190C,2024-11,2025-02,413.0
2024-11-01,Soybeans,12019000190C,2025-03,2025-10,389.0
2024-11-01,Soybean Oil,15071000100Q,2024-11,2024-11,1120.0
2024-11-01,Soybean Oil,15071000100Q,2024-12,2025-02,1109.0
2024-11-01,Soybean Oil,15071000100Q,2025-03,2025-03,1031.0
2024-11-01,Soybean Oil,15071000100Q,2025-04,2025-10,997.0
2024-11-01,Sunflower Oil,15121110310E,2024-11,2024-12,1130.0
2024-11-01,Sunflower Oil,15121110310E,2025-01,2025-10,1110.0
2024-11-01,Soybean Meal,23040010100B,2024-11,2024-12,337.0
2024-11-01,Soybean Meal,23040010100B,2025-01,2025-03,342.0
2024-11-01,Soybean Meal,23040010100B,2025-04,2025-10,334.0
2024-11-04,Soybeans,12019000190C,2024-11,2025-02,416.0
2024-11-04,Soybeans,12019000190C,2025-03,2025-10,390.0
2024-11-04,Soybean Oil,15071000100Q,2024-11,2024-11,1131.0
2024-11-04,Soybean Oil,15071000100Q,2024-12,2025-02,1113.0
2024-11-04,Soybean Oil,15071000100Q,2025-03,2025-03,1021.0
2024-11-04,Soybean Oil,15071000100Q,2025-04,2025-10,991.0
2024-11-04,Sunflower Oil,15121110310E,2024-11,2025-01,1130.0
2024-11-04,Sunflower Oil,15121110310E,2025-02,2025-10,1115.0
2024-11-04,Soybean Meal,23040010100B,2024-11,2024-12,342.0
2024-11-04,Soybean Meal,23040010100B,2025-01,2025-03,345.0
2024-11-04,Soybean Meal,23040010100B,2025-04,2025-10,335.0
2024-11-05,Soybeans,12019000190C,2024-11,2025-02,419.0
2024-11-05,Soybeans,12019000190C,2025-03,2025-10,391.0
2024-11-05,Soybean Oil,15071000100Q,2024-11,2024-11,1119.0
2024-11-05,Soybean Oil,15071000100Q,2024-12,2025-02,1104.0
2024-11-05,Soybean Oil,15071000100Q,2025-03,2025-03,1013.0
2024-11-05,Soybean Oil,15071000100Q,2025-04,2025-10,980.0
2024-11-05,Sunflower Oil,15121110310E,2024-11,2025-01,1130.0
2024-11-05,Sunflower Oil,15121110310E,2025-02,2025-10,1115.0
2024-11-05,Soybean Meal,23040010100B,2024-11,2024-12,340.0
2024-11-05,Soybean Meal,23040010100B,2025-01,2025-03,344.0
2024-11-05,Soybean Meal,23040010100B,2025-04,2025-10,336.0
2024-11-06,Soybeans,12019000190C,2024-11,2025-02,421.0
2024-11-06,Soybeans,12019000190C,2025-03,2025-10,391.0
2024-11-06,Soybean Oil,15071000100Q,2024-11,2024-11,1146.0
2024-11-06,Soybean Oil,15071000100Q,2024-12,2025-02,1137.0
2024-11-06,Soybean Oil,15071000100Q,2025-03,2025-03,1041.0
2024-11-06,Soybean Oil,15071000100Q,2025-04,2025-10,1006.0
2024-11-06,Sunflower Oil,15121110310E,2024-11,2025-01,1140.0
2024-11-06,Sunflower Oil,15121110310E,2025-02,2025-10,1125.0
2024-11-06,Soybean Meal,23040010100B,2024-11,2024-12,339.0
2024-11-06,Soybean Meal,23040010100B,2025-01,2025-03,342.0
2024-11-06,Soybean Meal,23040010100B,2025-04,2025-10,336.0
2024-11-07,Soybeans,12019000190C,2024-11,2025-02,428.0
2024-11-07,Soybeans,12019000190C,2025-03,2025-10,396.0
2024-11-07,Soybean Oil,15071000100Q,2024-11,2024-11,1181.0
2024-11-07,Soybean Oil,15071000100Q,2024-12,2025-02,1164.0
2024-11-07,Soybean Oil,15071000100Q,2025-03,2025-03,1079.0
2024-11-07,Soybean Oil,15071000100Q,2025-04,2025-10,1048.0
2024-11-07,Sunflower Oil,15121110310E,2024-11,2025-01,1150.0
2024-11-07,Sunflower Oil,15121110310E,2025-02,2025-10,1135.0
2024-11-07,Soybean Meal,23040010100B,2024-11,2024-12,338.0
2024-11-07,Soybean Meal,23040010100B,2025-01,2025-03,342.0
2024-11-07,Soybean Meal,23040010100B,2025-04,2025-10,339.0
2024-11-08,Soybeans,12019000190C,2024-11,2025-02,428.0
2024-11-08,Soybeans,12019000190C,2025-03,2025-10,397.0
2024-11-08,Soybean Oil,15071000100Q,2024-11,2024-11,1191.0
2024-11-08,Soybean Oil,15071000100Q,2024-12,2025-02,1176.0
2024-11-08,Soybean Oil,15071000100Q,2025-03,2025-03,1093.0
2024-11-08,Soybean Oil,15071000100Q,2025-04,2025-10,1062.0
2024-11-08,Sunflower Oil,15121110310E,2024-11,2025-01,1150.0
2024-11-08,Sunflower Oil,15121110310E,2025-02,2025-10,1135.0
2024-11-08,Soybean Meal,23040010100B,2024-11,2024-12,336.0
2024-11-08,Soybean Meal,23040010100B,2025-01,2025-03,340.0
2024-11-08,Soybean Meal,23040010100B,2025-04,2025-10,337.0
2024-11-11,Soybeans,12019000190C,2024-11,2025-02,425.0
2024-11-11,Soybeans,12019000190C,2025-03,2025-10,394.0
2024-11-11,Soybean Oil,15071000100Q,2024-11,2025-02,1177.0
2024-11-11,Soybean Oil,15071000100Q,2025-03,2025-03,1080.0
2024-11-11,Soybean Oil,15071000100Q,2025-04,2025-10,1051.0
2024-11-11,Sunflower Oil,15121110310E,2024-11,2025-01,1170.0
2024-11-11,Sunflower Oil,15121110310E,2025-02,2025-10,1155.0
2024-11-11,Soybean Meal,23040010100B,2024-11,2024-12,333.0
2024-11-11,Soybean Meal,23040010100B,2025-01,2025-03,337.0
2024-11-11,Soybean Meal,23040010100B,2025-04,2025-10,334.0
2024-11-12,Soybeans,12019000190C,2024-11,2025-02,424.0
2024-11-12,Soybeans,12019000190C,2025-03,2025-10,388.0
