source,commodity,crop_year,attribute,value,unit,report_date
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-07-28
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-07-30
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-07-31
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-02
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-03
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-04
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-05
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-06
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-07
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-08
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-10
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-11
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-12
CONAB,Corn,1976/77,Area,11797.3,1000 HA,2026-08-13
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-07-28
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-07-30
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-07-31
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-02
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-03
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-04
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-05
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-06
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-07
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-08
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-10
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-11
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-12
CONAB,Corn,1976/77,Production,19255.7,1000 MT,2026-08-13
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-07-28
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-07-30
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-07-31
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-02
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-03
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-04
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-05
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-06
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-07
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-08
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-10
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-11
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-12
CONAB,Corn,1976/77,Yield,1632.2124553923356,KG/HA,2026-08-13
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-07-28
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-07-30
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-07-31
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-02
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-03
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-04
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-05
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-06
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-07
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-08
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-10
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-11
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-12
CONAB,Corn,1977/78,Area,10985.1,1000 HA,2026-08-13
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-07-28
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-07-30
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-07-31
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-02
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-03
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-04
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-05
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-06
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-07
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-08
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-10
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-11
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-12
CONAB,Corn,1977/78,Production,14017.1,1000 MT,2026-08-13
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-07-28
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-07-30
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-07-31
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-02
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-03
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-04
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-05
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-06
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-07
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-08
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-10
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-11
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-12
CONAB,Corn,1977/78,Yield,1276.0102320415835,KG/HA,2026-08-13
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-07-28
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-07-30
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-07-31
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-02
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-03
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-04
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-05
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-06
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-07
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-08
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-10
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-11
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-12
CONAB,Corn,1978/79,Area,11304.8,1000 HA,2026-08-13
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-07-28
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-07-30
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-07-31
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-02
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-03
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-04
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-05
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-06
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-07
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-08
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-10
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-11
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-12
CONAB,Corn,1978/79,Production,16513.8,1000 MT,2026-08-13
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-07-28
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-07-30
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-07-31
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-02
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-03
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-04
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-05
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-06
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-07
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-08
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-10
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-11
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-12
CONAB,Corn,1978/79,Yield,1460.7777227372444,KG/HA,2026-08-13
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-07-28
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-07-30
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-07-31
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-02
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-03
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-04
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-05
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-06
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-07
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-08
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-10
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-11
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-12
CONAB,Corn,1979/80,Area,11669.9,1000 HA,2026-08-13
CONAB,Corn,1979/80,Production,19435.3,1000 MT,2026-07-28
CONAB,Corn,1979/80,Production,19435.3,1000 MT,2026-07-30
CONAB,Corn,1979/80,Production,19435.3,1000 MT,2026-07-31
CONAB,Corn,1979/80,Production,19435.3,1000 MT,2026-08-02
CONAB,Corn,1979/80,Production,19435.3,1000 MT,2026-08-03
CONAB,Corn,1979/80,Production,19435.3,1000 MT,2026-08-04
CONAB,Corn,1979/80,Production,19435.3,1000 MT,2026-08-05
