Date,commodity,price_brl,unit
2025-07-11,Soybean (CONAB PR farmgate),1940.0,BRL/MT
2025-07-18,Soybean (CONAB PR farmgate),1960.0,BRL/MT
2025-07-25,Soybean (CONAB PR farmgate),1980.0,BRL/MT
2025-08-01,Soybean (CONAB PR farmgate),1960.0,BRL/MT
2025-08-08,Soybean (CONAB PR farmgate),1960.0,BRL/MT
2025-08-15,Soybean (CONAB PR farmgate),1980.0,BRL/MT
2025-08-22,Soybean (CONAB PR farmgate),2010.0,BRL/MT
2025-08-29,Soybean (CONAB PR farmgate),1990.0,BRL/MT
2025-09-05,Soybean (CONAB PR farmgate),2000.0,BRL/MT
2025-09-12,Soybean (CONAB PR farmgate),2020.0,BRL/MT
2025-09-19,Soybean (CONAB PR farmgate),2010.0,BRL/MT
2025-09-26,Soybean (CONAB PR farmgate),1940.0,BRL/MT
2025-10-03,Soybean (CONAB PR farmgate),1950.0,BRL/MT
2025-10-10,Soybean (CONAB PR farmgate),1990.0,BRL/MT
2025-10-17,Soybean (CONAB PR farmgate),2020.0,BRL/MT
2025-10-24,Soybean (CONAB PR farmgate),2020.0,BRL/MT
2025-10-31,Soybean (CONAB PR farmgate),2030.0,BRL/MT
2025-11-07,Soybean (CONAB PR farmgate),2040.0,BRL/MT
2025-11-14,Soybean (CONAB PR farmgate),2030.0,BRL/MT
2025-11-21,Soybean (CONAB PR farmgate),2050.0,BRL/MT
2025-11-28,Soybean (CONAB PR farmgate),2040.0,BRL/MT
2025-12-05,Soybean (CONAB PR farmgate),2030.0,BRL/MT
2025-12-12,Soybean (CONAB PR farmgate),2020.0,BRL/MT
2025-12-19,Soybean (CONAB PR farmgate),1970.0,BRL/MT
2025-12-26,Soybean (CONAB PR farmgate),1960.0,BRL/MT
2026-01-02,Soybean (CONAB PR farmgate),1950.0,BRL/MT
2026-01-09,Soybean (CONAB PR farmgate),1940.0,BRL/MT
2026-01-16,Soybean (CONAB PR farmgate),1940.0,BRL/MT
2026-01-23,Soybean (CONAB PR farmgate),1940.0,BRL/MT
2026-01-30,Soybean (CONAB PR farmgate),1890.0,BRL/MT
2026-02-06,Soybean (CONAB PR farmgate),1890.0,BRL/MT
2026-02-13,Soybean (CONAB PR farmgate),1900.0,BRL/MT
2026-02-20,Soybean (CEPEA),2021.67,BRL/MT
2026-02-20,Soybean (CONAB PR farmgate),1910.0,BRL/MT
2026-02-20,Soybean (ESALQ/B3 Paranaguá),2141.5,BRL/MT
2026-02-23,Soybean (CEPEA),1999.0,BRL/MT
2026-02-23,Soybean (ESALQ/B3 Paranaguá),2102.67,BRL/MT
2026-02-24,Soybean (CEPEA),2003.67,BRL/MT
2026-02-24,Soybean (ESALQ/B3 Paranaguá),2108.83,BRL/MT
2026-02-25,Soybean (CEPEA),1999.0,BRL/MT
2026-02-25,Soybean (ESALQ/B3 Paranaguá),2102.83,BRL/MT
2026-02-26,Soybean (CEPEA),2005.33,BRL/MT
2026-02-26,Soybean (ESALQ/B3 Paranaguá),2112.83,BRL/MT
2026-02-27,Soybean (CEPEA),2011.67,BRL/MT
2026-02-27,Soybean (CONAB PR farmgate),1900.0,BRL/MT
2026-02-27,Soybean (ESALQ/B3 Paranaguá),2113.83,BRL/MT
2026-03-02,Soybean (CEPEA),2011.0,BRL/MT
2026-03-02,Soybean (ESALQ/B3 Paranaguá),2121.17,BRL/MT
2026-03-03,Soybean (CEPEA),2025.33,BRL/MT
2026-03-03,Soybean (ESALQ/B3 Paranaguá),2144.33,BRL/MT
2026-03-04,Soybean (CEPEA),2020.33,BRL/MT
2026-03-04,Soybean (ESALQ/B3 Paranaguá),2136.83,BRL/MT
2026-03-05,Soybean (CEPEA),2030.0,BRL/MT
2026-03-05,Soybean (ESALQ/B3 Paranaguá),2159.0,BRL/MT
2026-03-06,Soybean (CEPEA),2055.33,BRL/MT
2026-03-06,Soybean (CONAB PR farmgate),1930.0,BRL/MT
2026-03-06,Soybean (ESALQ/B3 Paranaguá),2186.33,BRL/MT
2026-03-09,Soybean (CEPEA),2042.83,BRL/MT
2026-03-09,Soybean (ESALQ/B3 Paranaguá),2167.0,BRL/MT
2026-03-10,Soybean (CEPEA),2033.33,BRL/MT
2026-03-10,Soybean (ESALQ/B3 Paranaguá),2146.67,BRL/MT
2026-03-11,Soybean (CEPEA),2038.5,BRL/MT
2026-03-11,Soybean (ESALQ/B3 Paranaguá),2154.83,BRL/MT
2026-03-12,Soybean (CEPEA),2048.67,BRL/MT
2026-03-12,Soybean (ESALQ/B3 Paranaguá),2181.17,BRL/MT
2026-03-13,Soybean (CEPEA),2054.0,BRL/MT
2026-03-13,Soybean (CONAB PR farmgate),1940.0,BRL/MT
2026-03-13,Soybean (ESALQ/B3 Paranaguá),2170.0,BRL/MT
2026-03-16,Soybean (CEPEA),2038.0,BRL/MT
2026-03-16,Soybean (ESALQ/B3 Paranaguá),2156.0,BRL/MT
2026-03-17,Soybean (CEPEA),2012.83,BRL/MT
2026-03-17,Soybean (ESALQ/B3 Paranaguá),2118.67,BRL/MT
2026-03-18,Soybean (CEPEA),2017.5,BRL/MT
2026-03-18,Soybean (ESALQ/B3 Paranaguá),2121.17,BRL/MT
2026-03-19,Soybean (CEPEA),2042.67,BRL/MT
2026-03-19,Soybean (ESALQ/B3 Paranaguá),2156.33,BRL/MT
2026-03-20,Soybean (CEPEA),2056.83,BRL/MT
2026-03-20,Soybean (CONAB PR farmgate),1920.0,BRL/MT
2026-03-20,Soybean (ESALQ/B3 Paranaguá),2176.83,BRL/MT
2026-03-23,Soybean (CEPEA),2042.5,BRL/MT
2026-03-24,Soybean (CEPEA),2045.33,BRL/MT
2026-03-24,Soybean (ESALQ/B3 Paranaguá),2169.17,BRL/MT
2026-03-25,Soybean (CEPEA),2047.83,BRL/MT
2026-03-25,Soybean (ESALQ/B3 Paranaguá),2154.17,BRL/MT
2026-03-26,Soybean (CEPEA),2065.33,BRL/MT
2026-03-26,Soybean (ESALQ/B3 Paranaguá),2172.83,BRL/MT
2026-03-27,Soybean (CEPEA),2068.33,BRL/MT
2026-03-27,Soybean (CONAB PR farmgate),1940.0,BRL/MT
2026-03-27,Soybean (ESALQ/B3 Paranaguá),2166.83,BRL/MT
2026-03-30,Soybean (CEPEA),2050.0,BRL/MT
2026-03-30,Soybean (ESALQ/B3 Paranaguá),2159.83,BRL/MT
2026-03-31,Soybean (CEPEA),2046.83,BRL/MT
2026-03-31,Soybean (ESALQ/B3 Paranaguá),2154.0,BRL/MT
2026-04-01,Soybean (CEPEA),2041.5,BRL/MT
2026-04-01,Soybean (ESALQ/B3 Paranaguá),2131.83,BRL/MT
2026-04-03,Soybean (CONAB PR farmgate),1920.0,BRL/MT
2026-04-06,Soybean (CEPEA),2050.83,BRL/MT
2026-04-06,Soybean (ESALQ/B3 Paranaguá),2146.83,BRL/MT
2026-04-07,Soybean (CEPEA),2040.33,BRL/MT
2026-04-07,Soybean (ESALQ/B3 Paranaguá),2138.5,BRL/MT
2026-04-08,Soybean (CEPEA),2024.5,BRL/MT
2026-04-08,Soybean (ESALQ/B3 Paranaguá),2135.33,BRL/MT
2026-04-09,Soybean (CEPEA),2030.17,BRL/MT
2026-04-09,Soybean (ESALQ/B3 Paranaguá),2130.67,BRL/MT
2026-04-10,Soybean (CEPEA),2015.67,BRL/MT
2026-04-10,Soybean (CONAB PR farmgate),1890.0,BRL/MT
2026-04-10,Soybean (ESALQ/B3 Paranaguá),2109.67,BRL/MT
2026-04-13,Soybean (CEPEA),2009.5,BRL/MT
2026-04-13,Soybean (ESALQ/B3 Paranaguá),2111.67,BRL/MT
2026-04-14,Soybean (CEPEA),2004.83,BRL/MT
2026-04-14,Soybean (ESALQ/B3 Paranaguá),2103.5,BRL/MT
2026-04-15,Soybean (CEPEA),2012.83,BRL/MT
2026-04-15,Soybean (ESALQ/B3 Paranaguá),2114.17,BRL/MT
2026-04-16,Soybean (CEPEA),2005.17,BRL/MT
2026-04-16,Soybean (ESALQ/B3 Paranaguá),2111.17,BRL/MT
2026-04-17,Soybean (CEPEA),2006.83,BRL/MT
2026-04-17,Soybean (CONAB PR farmgate),1860.0,BRL/MT
