commodity,week_ending,country,net_sales,weekly_exports,accumulated_exports,outstanding_sales,unit
Corn,2025-09-04,ALGERIA,0.0,0.0,0.0,30000.0,Metric Tons
Corn,2025-09-04,BANGLADH,111.0,0.0,0.0,111.0,Metric Tons
Corn,2025-09-04,BARBADO,0.0,0.0,0.0,3000.0,Metric Tons
Corn,2025-09-04,C RICA,11812.0,0.0,0.0,306932.0,Metric Tons
Corn,2025-09-04,CANADA,28227.0,1878.0,1878.0,204648.0,Metric Tons
Corn,2025-09-04,CHINA,0.0,0.0,0.0,0.0,Metric Tons
Corn,2025-09-04,COLOMB,47442.0,54342.0,54342.0,1589564.0,Metric Tons
Corn,2025-09-04,DOM REP,4050.0,0.0,0.0,4050.0,Metric Tons
Corn,2025-09-04,EGYPT,7206.0,0.0,0.0,130206.0,Metric Tons
Corn,2025-09-04,GUATMAL,1.0,0.0,0.0,225152.0,Metric Tons
Corn,2025-09-04,HG KONG,1518.0,0.0,0.0,2529.0,Metric Tons
Corn,2025-09-04,HONDURA,12755.0,0.0,0.0,333883.0,Metric Tons
Corn,2025-09-04,INDNSIA,732.0,0.0,0.0,732.0,Metric Tons
Corn,2025-09-04,IRELAND,0.0,0.0,0.0,173942.0,Metric Tons
Corn,2025-09-04,ISRAEL,0.0,0.0,0.0,50000.0,Metric Tons
Corn,2025-09-04,ITALY,0.0,0.0,0.0,30000.0,Metric Tons
Corn,2025-09-04,JAMAICA,296.0,33996.0,33996.0,64900.0,Metric Tons
Corn,2025-09-04,JAPAN,238086.0,156649.0,156649.0,2526894.0,Metric Tons
Corn,2025-09-04,JORDAN,173.0,0.0,0.0,195.0,Metric Tons
Corn,2025-09-04,KOR REP,97591.0,136331.0,136331.0,1099774.0,Metric Tons
Corn,2025-09-04,KUWAIT,0.0,0.0,0.0,2.0,Metric Tons
Corn,2025-09-04,LW WW I,0.0,0.0,0.0,4100.0,Metric Tons
Corn,2025-09-04,MALAYSA,41753.0,0.0,0.0,42738.0,Metric Tons
