Date,commodity,Open,High,Low,Close,Volume,unit
2026-08-11,Soybean (Mandi MH),,,,67000.0,62.0,INR/MT
2026-08-11,Soybean (Mandi MP),,,,67250.0,115.0,INR/MT
2026-08-18,Soybean (Mandi MH),,,,63300.0,24.0,INR/MT
2026-08-18,Soybean (Mandi MP),,,,63760.0,97.0,INR/MT
2026-08-19,Soybean (Mandi MH),,,,63740.0,58.0,INR/MT
2026-08-20,Soybean (Mandi MH),,,,63500.0,61.0,INR/MT
2026-08-21,Soybean (Mandi MH),,,,62500.0,51.0,INR/MT
2026-08-22,Soybean (Mandi MH),,,,62000.0,1.0,INR/MT
2026-08-23,Soybean (Mandi MH),,,,59950.0,4.0,INR/MT
2026-08-24,Soybean (Mandi MH),,,,59000.0,55.0,INR/MT
2026-08-24,Soybean (Mandi MP),,,,58925.0,106.0,INR/MT
2026-08-25,Soybean (Mandi MH),,,,57000.0,68.0,INR/MT
2026-08-26,Soybean (Mandi MH),,,,56955.0,8.0,INR/MT
2026-08-31,Soybean (Mandi MH),,,,59335.0,48.0,INR/MT
2026-09-01,Soybean (Mandi MH),,,,58380.0,55.0,INR/MT
2026-09-02,Soybean (Mandi MH),,,,59000.0,47.0,INR/MT
2026-09-02,Soybean (Mandi MP),,,,57500.0,99.0,INR/MT
2026-09-03,Soybean (Mandi MH),,,,57000.0,44.0,INR/MT
2026-09-04,Soybean (Mandi MH),,,,56125.0,48.0,INR/MT
