week_ending,region,port_area,commodity,inspections_mt
2026-07-23,ATLANTIC,S. ATLANTIC,Corn White,0.0
2026-07-23,ATLANTIC,S. ATLANTIC,Corn Yellow,13200.0
2026-07-23,ATLANTIC,S. ATLANTIC,Flaxseed,0.0
2026-07-23,ATLANTIC,S. ATLANTIC,Rye,0.0
2026-07-23,ATLANTIC,S. ATLANTIC,Sorghum,0.0
2026-07-23,ATLANTIC,S. ATLANTIC,Soybeans,8919.0
2026-07-23,ATLANTIC,S. ATLANTIC,Wheat,0.0
2026-07-23,ATLANTIC,SUBTOTAL,Corn White,0.0
2026-07-23,ATLANTIC,SUBTOTAL,Corn Yellow,13200.0
2026-07-23,ATLANTIC,SUBTOTAL,Flaxseed,0.0
2026-07-23,ATLANTIC,SUBTOTAL,Rye,0.0
2026-07-23,ATLANTIC,SUBTOTAL,Sorghum,0.0
2026-07-23,ATLANTIC,SUBTOTAL,Soybeans,8919.0
2026-07-23,ATLANTIC,SUBTOTAL,Wheat,0.0
2026-07-23,GULF,MISSISSIPPI R.,Corn White,23237.0
2026-07-23,GULF,MISSISSIPPI R.,Corn Yellow,668261.0
2026-07-23,GULF,MISSISSIPPI R.,Flaxseed,0.0
2026-07-23,GULF,MISSISSIPPI R.,Rye,0.0
2026-07-23,GULF,MISSISSIPPI R.,Sorghum,0.0
2026-07-23,GULF,MISSISSIPPI R.,Soybeans,219159.0
2026-07-23,GULF,MISSISSIPPI R.,Wheat,107727.0
2026-07-23,GULF,N. TEXAS,Corn White,0.0
2026-07-23,GULF,N. TEXAS,Corn Yellow,6727.0
2026-07-23,GULF,N. TEXAS,Flaxseed,0.0
2026-07-23,GULF,N. TEXAS,Rye,0.0
2026-07-23,GULF,N. TEXAS,Sorghum,38279.0
2026-07-23,GULF,N. TEXAS,Soybeans,0.0
2026-07-23,GULF,N. TEXAS,Wheat,79055.0
2026-07-23,GULF,SUBTOTAL,Corn White,23237.0
2026-07-23,GULF,SUBTOTAL,Corn Yellow,674988.0
2026-07-23,GULF,SUBTOTAL,Flaxseed,0.0
2026-07-23,GULF,SUBTOTAL,Rye,0.0
2026-07-23,GULF,SUBTOTAL,Sorghum,38279.0
2026-07-23,GULF,SUBTOTAL,Soybeans,219159.0
2026-07-23,GULF,SUBTOTAL,Wheat,186782.0
2026-07-23,INTERIOR,INTERIOR,Corn White,0.0
2026-07-23,INTERIOR,INTERIOR,Corn Yellow,296105.0
2026-07-23,INTERIOR,INTERIOR,Flaxseed,48.0
2026-07-23,INTERIOR,INTERIOR,Rye,0.0
2026-07-23,INTERIOR,INTERIOR,Sorghum,1175.0
2026-07-23,INTERIOR,INTERIOR,Soybeans,120772.0
2026-07-23,INTERIOR,INTERIOR,Wheat,45126.0
2026-07-23,INTERIOR,SUBTOTAL,Corn White,0.0
2026-07-23,INTERIOR,SUBTOTAL,Corn Yellow,296105.0
2026-07-23,INTERIOR,SUBTOTAL,Flaxseed,48.0
