Date,commodity,Close,Volume,unit,contract
2026-07-28,Soybean (SAFEX),8065.0,387.0,ZAR/MT,
2026-07-28,Sunflower (SAFEX),10455.0,368.0,ZAR/MT,
2026-07-30,Soybean (SAFEX),8115.0,1461.0,ZAR/MT,
2026-07-30,Sunflower (SAFEX),10395.0,295.0,ZAR/MT,
2026-07-31,Soybean (SAFEX),8250.0,1099.0,ZAR/MT,
2026-07-31,Sunflower (SAFEX),10410.0,280.0,ZAR/MT,
2026-08-03,Soybean (SAFEX),8140.0,811.0,ZAR/MT,
2026-08-03,Sunflower (SAFEX),10100.0,219.0,ZAR/MT,
2026-08-04,Soybean (SAFEX),8155.0,939.0,ZAR/MT,
2026-08-04,Sunflower (SAFEX),10275.0,446.0,ZAR/MT,
2026-08-05,Soybean (SAFEX),8055.0,678.0,ZAR/MT,
2026-08-05,Sunflower (SAFEX),10250.0,288.0,ZAR/MT,
2026-08-06,Soybean (SAFEX),8080.0,750.0,ZAR/MT,
2026-08-06,Sunflower (SAFEX),10316.8,500.0,ZAR/MT,
2026-08-07,Soybean (SAFEX),7930.0,151.0,ZAR/MT,AUG26
2026-08-07,Sunflower (SAFEX),10210.0,283.0,ZAR/MT,AUG26
2026-08-11,Soybean (SAFEX),8039.8,433.0,ZAR/MT,DEC26
2026-08-11,Sunflower (SAFEX),10542.0,297.0,ZAR/MT,DEC26
2026-08-12,Soybean (SAFEX),7990.0,349.0,ZAR/MT,DEC26
2026-08-12,Sunflower (SAFEX),10549.4,404.0,ZAR/MT,DEC26
2026-08-13,Soybean (SAFEX),7865.0,654.0,ZAR/MT,SEP26
2026-08-13,Sunflower (SAFEX),10579.8,308.0,ZAR/MT,DEC26
