commodity,season_year,week_number,week_end,season_status,first_published,adjustments,week_total,unit
Soybeans (SAGIS),2018,1,2018-03-02,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,2,2018-03-09,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,3,2018-03-16,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,4,2018-03-23,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,5,2018-03-30,Final,19024.0,0.0,19024.0,MT
Soybeans (SAGIS),2018,6,2018-04-06,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,7,2018-04-13,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,8,2018-04-20,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,9,2018-04-27,Final,377453.0,-1394.0,376059.0,MT
Soybeans (SAGIS),2018,10,2018-05-04,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,11,2018-05-11,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,12,2018-05-18,Final,0.0,0.0,0.0,MT
Soybeans (SAGIS),2018,13,2018-05-25,Final,899760.0,11659.0,911419.0,MT
Soybeans (SAGIS),2018,14,2018-06-01,Final,3191.0,0.0,3191.0,MT
Soybeans (SAGIS),2018,15,2018-06-08,Final,58518.0,-6343.0,52175.0,MT
Soybeans (SAGIS),2018,16,2018-06-15,Final,41080.0,-10881.0,30199.0,MT
Soybeans (SAGIS),2018,17,2018-06-22,Final,27034.0,-10760.0,16274.0,MT
Soybeans (SAGIS),2018,18,2018-06-29,Final,22588.0,11984.0,34572.0,MT
Soybeans (SAGIS),2018,19,2018-07-06,Final,17258.0,-13915.0,3343.0,MT
Soybeans (SAGIS),2018,20,2018-07-13,Final,8392.0,-5073.0,3319.0,MT
Soybeans (SAGIS),2018,21,2018-07-20,Final,9022.0,-6767.0,2255.0,MT
Soybeans (SAGIS),2018,22,2018-07-27,Final,2426.0,4643.0,7069.0,MT
Soybeans (SAGIS),2018,23,2018-08-03,Final,1279.0,-856.0,423.0,MT
Soybeans (SAGIS),2018,24,2018-08-10,Final,1503.0,0.0,1503.0,MT
Soybeans (SAGIS),2018,25,2018-08-17,Final,2279.0,-58.0,2221.0,MT
Soybeans (SAGIS),2018,26,2018-08-24,Final,3683.0,-766.0,2917.0,MT
Soybeans (SAGIS),2018,27,2018-08-31,Final,4147.0,-2158.0,1989.0,MT
Soybeans (SAGIS),2018,28,2018-09-07,Final,1379.0,0.0,1379.0,MT
Soybeans (SAGIS),2018,29,2018-09-14,Final,800.0,0.0,800.0,MT
Soybeans (SAGIS),2018,30,2018-09-21,Final,779.0,13.0,792.0,MT
Soybeans (SAGIS),2018,31,2018-09-28,Final,568.0,7191.0,7759.0,MT
Soybeans (SAGIS),2018,32,2018-10-05,Final,415.0,-44.0,371.0,MT
Soybeans (SAGIS),2018,33,2018-10-12,Final,697.0,0.0,697.0,MT
Soybeans (SAGIS),2018,34,2018-10-19,Final,641.0,0.0,641.0,MT
Soybeans (SAGIS),2018,35,2018-10-26,Final,431.0,3059.0,3490.0,MT
Soybeans (SAGIS),2018,36,2018-11-02,Final,386.0,-265.0,121.0,MT
Soybeans (SAGIS),2018,37,2018-11-09,Final,527.0,0.0,527.0,MT
Soybeans (SAGIS),2018,38,2018-11-16,Final,662.0,-209.0,453.0,MT
Soybeans (SAGIS),2018,39,2018-11-23,Final,540.0,0.0,540.0,MT
Soybeans (SAGIS),2018,40,2018-11-30,Final,720.0,2130.0,2850.0,MT
Soybeans (SAGIS),2018,41,2018-12-07,Final,593.0,0.0,593.0,MT
Soybeans (SAGIS),2018,42,2018-12-14,Final,804.0,15.0,819.0,MT
Soybeans (SAGIS),2018,43,2018-12-21,Final,1152.0,126.0,1278.0,MT
Soybeans (SAGIS),2018,44,2018-12-28,Final,141.0,-256.0,-115.0,MT
Soybeans (SAGIS),2018,45,2019-01-04,Final,284.0,-26.0,258.0,MT
Soybeans (SAGIS),2018,46,2019-01-11,Final,982.0,0.0,982.0,MT
Soybeans (SAGIS),2018,47,2019-01-18,Final,1564.0,-56.0,1508.0,MT
Soybeans (SAGIS),2018,48,2019-01-25,Final,1756.0,1831.0,3587.0,MT
Soybeans (SAGIS),2018,49,2019-02-01,Final,811.0,-297.0,514.0,MT
Soybeans (SAGIS),2018,50,2019-02-08,Final,997.0,0.0,997.0,MT
Soybeans (SAGIS),2018,51,2019-02-15,Final,1188.0,20.0,1208.0,MT
Soybeans (SAGIS),2018,52,2019-02-22,Final,1271.0,1704.0,2975.0,MT
Soybeans (SAGIS),2019,1,2019-03-01,Final,1065.0,-261.0,804.0,MT
Soybeans (SAGIS),2019,2,2019-03-08,Final,945.0,328.0,1273.0,MT
Soybeans (SAGIS),2019,3,2019-03-15,Final,2457.0,-550.0,1907.0,MT
Soybeans (SAGIS),2019,4,2019-03-22,Final,6898.0,-1350.0,5548.0,MT
Soybeans (SAGIS),2019,5,2019-03-29,Final,20765.0,11016.0,31781.0,MT
Soybeans (SAGIS),2019,6,2019-04-05,Final,33687.0,-1258.0,32429.0,MT
Soybeans (SAGIS),2019,7,2019-04-12,Final,17378.0,95.0,17473.0,MT
Soybeans (SAGIS),2019,8,2019-04-19,Final,78186.0,3710.0,81896.0,MT
Soybeans (SAGIS),2019,9,2019-04-26,Final,37842.0,98125.0,135967.0,MT
Soybeans (SAGIS),2019,10,2019-05-03,Final,131018.0,-5738.0,125280.0,MT
Soybeans (SAGIS),2019,11,2019-05-10,Final,160504.0,12153.0,172657.0,MT
Soybeans (SAGIS),2019,12,2019-05-17,Final,170536.0,8.0,170544.0,MT
Soybeans (SAGIS),2019,13,2019-05-24,Final,108056.0,57.0,108113.0,MT
Soybeans (SAGIS),2019,14,2019-05-31,Final,57466.0,75680.0,133146.0,MT
Soybeans (SAGIS),2019,15,2019-06-07,Final,32412.0,344.0,32756.0,MT
Soybeans (SAGIS),2019,16,2019-06-14,Final,15379.0,1161.0,16540.0,MT
Soybeans (SAGIS),2019,17,2019-06-21,Final,7860.0,421.0,8281.0,MT
Soybeans (SAGIS),2019,18,2019-06-28,Final,4360.0,11408.0,15768.0,MT
Soybeans (SAGIS),2019,19,2019-07-05,Final,3146.0,-1112.0,2034.0,MT
Soybeans (SAGIS),2019,20,2019-07-12,Final,1887.0,0.0,1887.0,MT
Soybeans (SAGIS),2019,21,2019-07-19,Final,1897.0,0.0,1897.0,MT
