commodity,season_year,month_number,month_end,report_month,opening_stock,deliveries,imports,processed_total,processed_human,processed_feed,processed_oil_oilcake,withdrawn_by_producers,released_to_end_consumers,seed_for_planting,exports_whole,exports_border_posts,exports_harbours,sundries_net_dispatches,sundries_surplus_deficit,unutilised_stock,stock_storers_traders,stock_processors,products_exported,products_exported_africa,products_exported_other,unit
Soybeans (SAGIS),2024,1,2024-03-31,2025-04-01,320637.0,207452.0,4.0,125945.0,1731.0,10970.0,113244.0,0.0,0.0,37.0,29205.0,1547.0,27658.0,-54.0,-4029.0,376989.0,337662.0,39327.0,9438.0,9438.0,0.0,MT
Soybeans (SAGIS),2024,2,2024-04-30,2025-04-01,376989.0,808769.0,133.0,190235.0,1711.0,10829.0,177695.0,133.0,146.0,1064.0,6942.0,6942.0,0.0,-214.0,5553.0,982032.0,924280.0,57752.0,11995.0,11995.0,0.0,MT
Soybeans (SAGIS),2024,3,2024-05-31,2025-04-01,982032.0,586313.0,11.0,180193.0,2176.0,10479.0,167538.0,364.0,83.0,1338.0,6992.0,6992.0,0.0,-205.0,-328.0,1379919.0,1311719.0,68200.0,13297.0,13297.0,0.0,MT
Soybeans (SAGIS),2024,4,2024-06-30,2025-04-01,1379919.0,76495.0,203.0,169693.0,2137.0,9626.0,157930.0,59.0,25.0,1430.0,10790.0,10790.0,0.0,303.0,-23.0,1274340.0,1211493.0,62847.0,14966.0,14966.0,0.0,MT
Soybeans (SAGIS),2024,5,2024-07-31,2025-04-01,1274340.0,25111.0,121.0,184897.0,1809.0,10474.0,172614.0,20.0,0.0,1861.0,7852.0,7852.0,0.0,-21.0,-127.0,1105090.0,1017292.0,87798.0,16355.0,16355.0,0.0,MT
Soybeans (SAGIS),2024,6,2024-08-31,2025-04-01,1105090.0,20561.0,0.0,178333.0,2031.0,9257.0,167045.0,0.0,1.0,865.0,12581.0,12581.0,0.0,-366.0,-2.0,934239.0,848351.0,85888.0,20531.0,20531.0,0.0,MT
Soybeans (SAGIS),2024,7,2024-09-30,2025-04-01,934239.0,22121.0,499.0,183790.0,1467.0,9631.0,172692.0,0.0,1.0,450.0,18168.0,18168.0,0.0,317.0,-10.0,754143.0,675693.0,78450.0,12422.0,12422.0,0.0,MT
Soybeans (SAGIS),2024,8,2024-10-31,2025-04-01,754143.0,18261.0,507.0,177759.0,2416.0,9873.0,165470.0,2.0,33.0,327.0,15023.0,15023.0,0.0,531.0,4.0,579232.0,505981.0,73251.0,15135.0,15135.0,0.0,MT
Soybeans (SAGIS),2024,9,2024-11-30,2025-04-01,579232.0,14772.0,32236.0,167130.0,2326.0,10477.0,154327.0,4.0,15.0,0.0,13560.0,13560.0,0.0,-185.0,-3824.0,449540.0,374598.0,74942.0,14632.0,14632.0,0.0,MT
Soybeans (SAGIS),2024,10,2024-12-31,2025-04-01,449540.0,8493.0,34.0,134285.0,1375.0,9743.0,123167.0,0.0,0.0,0.0,7139.0,7120.0,19.0,386.0,-603.0,316860.0,264170.0,52690.0,16315.0,16315.0,0.0,MT
Soybeans (SAGIS),2024,11,2025-01-31,2025-04-01,316860.0,14044.0,79152.0,149685.0,1781.0,10185.0,137719.0,0.0,0.0,79.0,15426.0,15426.0,0.0,1248.0,-3226.0,246844.0,188910.0,57934.0,16364.0,16364.0,0.0,MT
Soybeans (SAGIS),2024,12,2025-02-28,2025-04-01,246844.0,6156.0,41388.0,146137.0,1540.0,8457.0,136140.0,0.0,0.0,2.0,6567.0,6567.0,0.0,834.0,144.0,140704.0,101482.0,39222.0,23664.0,23664.0,0.0,MT
Soybeans (SAGIS),2025,1,2025-03-31,2026-04-01,140704.0,68528.0,137.0,121617.0,1834.0,7783.0,112000.0,0.0,0.0,38.0,2924.0,2924.0,0.0,141.0,-1737.0,86386.0,72100.0,14286.0,20693.0,20693.0,0.0,MT
