commodity,year,attribute,value,unit,reference_period
CORN,2023/24,Area Harvested,86.5,Million Acres,2025-08-15
CORN,2023/24,Area Harvested,86.5,Million Acres,2025-09-15
CORN,2023/24,Area Harvested,86.5,Million Acres,2025-11-15
CORN,2023/24,Area Harvested,86.5,Million Acres,2025-12-15
CORN,2023/24,Area Harvested,86.5,Million Acres,2026-01-15
CORN,2023/24,Area Harvested,86.5,Million Acres,2026-02-15
CORN,2023/24,Area Harvested,86.5,Million Acres,2026-03-15
CORN,2023/24,Area Harvested,86.5,Million Acres,2026-04-15
CORN,2023/24,Area Planted,94.6,Million Acres,2025-08-15
CORN,2023/24,Area Planted,94.6,Million Acres,2025-09-15
CORN,2023/24,Area Planted,94.6,Million Acres,2025-11-15
CORN,2023/24,Area Planted,94.6,Million Acres,2025-12-15
CORN,2023/24,Area Planted,94.6,Million Acres,2026-01-15
CORN,2023/24,Area Planted,94.6,Million Acres,2026-02-15
CORN,2023/24,Area Planted,94.6,Million Acres,2026-03-15
CORN,2023/24,Area Planted,94.6,Million Acres,2026-04-15
CORN,2023/24,Avg. Farm Price ($/bu),4.55,$/bu,2025-08-15
CORN,2023/24,Avg. Farm Price ($/bu),4.55,$/bu,2025-09-15
CORN,2023/24,Avg. Farm Price ($/bu),4.55,$/bu,2025-11-15
CORN,2023/24,Avg. Farm Price ($/bu),4.55,$/bu,2025-12-15
CORN,2023/24,Avg. Farm Price ($/bu),4.55,$/bu,2026-01-15
CORN,2023/24,Avg. Farm Price ($/bu),4.55,$/bu,2026-02-15
CORN,2023/24,Avg. Farm Price ($/bu),4.55,$/bu,2026-03-15
CORN,2023/24,Avg. Farm Price ($/bu),4.55,$/bu,2026-04-15
CORN,2023/24,Beginning Stocks,1360.0,Million Bushels,2025-08-15
CORN,2023/24,Beginning Stocks,1360.0,Million Bushels,2025-09-15
CORN,2023/24,Beginning Stocks,1360.0,Million Bushels,2025-11-15
CORN,2023/24,Beginning Stocks,1360.0,Million Bushels,2025-12-15
CORN,2023/24,Beginning Stocks,1360.0,Million Bushels,2026-01-15
CORN,2023/24,Beginning Stocks,1360.0,Million Bushels,2026-02-15
CORN,2023/24,Beginning Stocks,1360.0,Million Bushels,2026-03-15
CORN,2023/24,Beginning Stocks,1360.0,Million Bushels,2026-04-15
CORN,2023/24,"Domestic, Total",12711.0,Million Bushels,2025-08-15
CORN,2023/24,"Domestic, Total",12711.0,Million Bushels,2025-09-15
CORN,2023/24,"Domestic, Total",12711.0,Million Bushels,2025-11-15
CORN,2023/24,"Domestic, Total",12711.0,Million Bushels,2025-12-15
CORN,2023/24,"Domestic, Total",12711.0,Million Bushels,2026-01-15
CORN,2023/24,"Domestic, Total",12711.0,Million Bushels,2026-02-15
CORN,2023/24,"Domestic, Total",12711.0,Million Bushels,2026-03-15
CORN,2023/24,"Domestic, Total",12711.0,Million Bushels,2026-04-15
CORN,2023/24,Ending Stocks,1763.0,Million Bushels,2025-08-15
CORN,2023/24,Ending Stocks,1763.0,Million Bushels,2025-09-15
CORN,2023/24,Ending Stocks,1763.0,Million Bushels,2025-11-15
CORN,2023/24,Ending Stocks,1763.0,Million Bushels,2025-12-15
CORN,2023/24,Ending Stocks,1763.0,Million Bushels,2026-01-15
